,Unnamed: 0,author_timestamp,commit_utc_offset_hours,filename,n_additions,n_deletions,author_id
16,16,1487807197,-8,mm/memory.c,2,3,4
18,18,1487807194,-8,mm/memory.c,2,2,4
21,21,1487807191,-8,mm/memory.c,0,6,4
159,159,1487806978,-8,mm/memory.c,10,3,22
165,165,1487806969,-8,mm/memory.c,25,0,22
280,280,1487806806,-8,mm/memory.c,4,4,41
288,288,1487806803,-8,mm/memory.c,2,4,41
12917,12917,1484096244,-8,mm/memory.c,2,2,38
12919,12919,1484096241,-8,mm/memory.c,30,7,38
13976,13976,1483832251,-8,mm/memory.c,20,27,25
17381,17381,1482608761,-8,mm/memory.c,1,1,92
18749,18749,1481756870,-8,mm/memory.c,1,1,389
18752,18752,1481756865,-8,mm/memory.c,2,2,389
18753,18753,1481756862,-8,mm/memory.c,3,4,389
18755,18755,1481756859,-8,mm/memory.c,39,27,389
18756,18756,1481756856,-8,mm/memory.c,12,15,389
18757,18757,1481756853,-8,mm/memory.c,29,29,389
18758,18758,1481756850,-8,mm/memory.c,10,12,389
18759,18759,1481756847,-8,mm/memory.c,37,40,389
18763,18763,1481756844,-8,mm/memory.c,4,8,389
18765,18765,1481756841,-8,mm/memory.c,35,9,389
18767,18767,1481756838,-8,mm/memory.c,7,7,389
18771,18771,1481756836,-8,mm/memory.c,41,41,389
18772,18772,1481756833,-8,mm/memory.c,2,7,389
18773,18773,1481756830,-8,mm/memory.c,28,38,389
18774,18774,1481756827,-8,mm/memory.c,10,15,389
18776,18776,1481756824,-8,mm/memory.c,18,17,389
18803,18803,1481756821,-8,mm/memory.c,4,5,389
18813,18813,1481756818,-8,mm/memory.c,284,284,389
18829,18829,1481756812,-8,mm/memory.c,1,1,1508
19465,19465,1481589872,-8,mm/memory.c,49,10,235
19537,19537,1481589763,-8,mm/memory.c,6,15,235
19548,19548,1481589760,-8,mm/memory.c,6,1,235
19563,19563,1481589740,-8,mm/memory.c,2,2,5
27147,27147,1479838010,-6,mm/memory.c,1,1,1224
33111,33111,1478036605,-7,mm/memory.c,1,0,710
33519,33519,1477503823,2,mm/memory.c,4,4,27
42250,42250,1476318020,1,mm/memory.c,2,6,1508
42259,42259,1476318019,1,mm/memory.c,3,8,1508
42261,42261,1476318018,1,mm/memory.c,15,8,1508
42270,42270,1476318017,1,mm/memory.c,5,1,1508
46108,46108,1475884818,-7,mm/memory.c,6,2,197
46155,46155,1475884746,-7,mm/memory.c,13,0,6
50790,50790,1473634465,1,mm/memory.c,7,5,1508
57126,57126,1473384653,-4,mm/memory.c,1,1,2413
74569,74569,1470171745,-7,mm/memory.c,1,0,1186
74570,74570,1470171742,-7,mm/memory.c,2,0,2436
76382,76382,1469571995,-7,mm/memory.c,3,2,4
76402,76402,1469571978,-7,mm/memory.c,1,1,4
76440,76440,1469571940,-7,mm/memory.c,5,0,4
76444,76444,1469571931,-7,mm/memory.c,1,0,4
76448,76448,1469571929,-7,mm/memory.c,70,1,4
76452,76452,1469571926,-7,mm/memory.c,2,2,4
76458,76458,1469571923,-7,mm/memory.c,179,118,4
76467,76467,1469571920,-7,mm/memory.c,275,306,4
76504,76504,1469571918,-7,mm/memory.c,7,6,4
76512,76512,1469571903,-7,mm/memory.c,1,1,2421
76564,76564,1469571852,-7,mm/memory.c,9,1,235
76571,76571,1469571849,-7,mm/memory.c,13,6,235
80840,80840,1468523258,-7,mm/memory.c,1,2,25
92422,92422,1466804988,-7,mm/memory.c,0,8,4
92425,92425,1466804985,-7,mm/memory.c,5,18,4
105089,105089,1463788724,-7,mm/memory.c,8,0,1186
105092,105092,1463788721,-7,mm/memory.c,18,5,4
105120,105120,1463788661,-7,mm/memory.c,3,2,1949
106158,106158,1463070560,2,mm/memory.c,0,2,389
106162,106162,1463070559,2,mm/memory.c,18,20,389
108495,108495,1463092945,-7,mm/memory.c,13,8,20
111508,111508,1462490529,-7,mm/memory.c,2,9,25
115716,115716,1461885515,-7,mm/memory.c,40,0,616
125960,125960,1459513788,3,mm/memory.c,0,1,4
126321,126321,1459513787,3,mm/memory.c,21,32,4
129426,129426,1458940824,-7,mm/memory.c,8,8,6
131049,131049,1458249590,-7,mm/memory.c,7,10,467
131149,131149,1458249551,-7,mm/memory.c,3,5,4
131942,131942,1458079048,-7,mm/memory.c,1,2,3437
131994,131994,1458079005,-7,mm/memory.c,3,1,3178
141915,141915,1456528768,-8,mm/memory.c,12,2,20
147019,147019,1455310944,-8,mm/memory.c,1,0,684
147030,147030,1455310941,-8,mm/memory.c,2,1,684
147284,147284,1455310939,-8,mm/memory.c,4,0,684
148513,148513,1455310914,-8,mm/memory.c,1,1,684
154175,154175,1454205796,-8,mm/memory.c,0,5,25
155133,155133,1453830485,-8,mm/memory.c,7,2,197
158025,158025,1453330990,-8,mm/memory.c,2,1,2485
159033,159033,1452905812,-8,mm/memory.c,4,4,197
159050,159050,1452905803,-8,mm/memory.c,1,1,197
159060,159060,1452905800,-8,mm/memory.c,10,6,197
159175,159175,1452905673,-8,mm/memory.c,2,3,4
159202,159202,1452905629,-8,mm/memory.c,6,0,4
159222,159222,1452905622,-8,mm/memory.c,1,1,4
159233,159233,1452905619,-8,mm/memory.c,3,15,4
159295,159295,1452905562,-8,mm/memory.c,1,1,4
159304,159304,1452905555,-8,mm/memory.c,2,1,4
159316,159316,1452905540,-8,mm/memory.c,13,14,4
159325,159325,1452905536,-8,mm/memory.c,7,7,4
159335,159335,1452905527,-8,mm/memory.c,1,1,4
159838,159838,1452813612,-8,mm/memory.c,17,0,6
159868,159868,1452813566,-8,mm/memory.c,10,20,2935
160660,160660,1451448740,-8,mm/memory.c,23,2,60
180631,180631,1447675755,2,mm/memory.c,4,4,3256
192999,192999,1444948112,-7,mm/memory.c,2,0,38
209076,209076,1441838375,-7,mm/memory.c,2,2,4
209674,209674,1441749585,-7,mm/memory.c,4,4,4
209676,209676,1441749582,-7,mm/memory.c,2,9,4
209685,209685,1441749565,-7,mm/memory.c,8,3,1506
209706,209706,1441749528,-7,mm/memory.c,24,6,1506
209724,209724,1441749508,-7,mm/memory.c,4,4,1651
210168,210168,1441406902,-7,mm/memory.c,5,5,3674
210247,210247,1441406780,-7,mm/memory.c,16,0,20
234637,234637,1436213917,3,mm/memory.c,13,7,4
237928,237928,1435190247,-7,mm/memory.c,6,4,3636
238433,238433,1434702553,2,mm/memory.c,1,1,6128
255975,255975,1431359527,2,mm/memory.c,6,12,789
266039,266039,1429139711,-7,mm/memory.c,38,4,6552
266040,266040,1429139708,-7,mm/memory.c,5,6,362
266077,266077,1429139648,-7,mm/memory.c,1,1,5414
266831,266831,1429051595,-7,mm/memory.c,47,38,6567
266832,266832,1429051592,-7,mm/memory.c,145,119,6567
266833,266833,1429051589,-7,mm/memory.c,12,9,6567
266834,266834,1429051585,-7,mm/memory.c,68,48,6567
276064,276064,1427324142,-7,mm/memory.c,2,1,3636
276066,276066,1427324140,-7,mm/memory.c,3,5,3636
276069,276069,1427324137,-7,mm/memory.c,11,8,3636
281926,281926,1426175146,-7,mm/memory.c,6,1,92
290243,290243,1424131130,-8,mm/memory.c,32,9,3437
290245,290245,1424131126,-8,mm/memory.c,1,0,3437
291257,291257,1423782019,-8,mm/memory.c,1,1,2109
291344,291344,1423781921,-8,mm/memory.c,3,0,3636
291348,291348,1423781915,-8,mm/memory.c,0,1,3636
291361,291361,1423781908,-8,mm/memory.c,6,4,3636
291376,291376,1423781902,-8,mm/memory.c,2,2,3636
291676,291676,1423697210,-8,mm/memory.c,9,6,4
292074,292074,1423606290,-8,mm/memory.c,17,31,1252
292075,292075,1423606288,-8,mm/memory.c,2,5,1252
292141,292141,1423606204,-8,mm/memory.c,38,40,4
292179,292179,1423606191,-8,mm/memory.c,9,55,4
292182,292182,1423606189,-8,mm/memory.c,21,60,4
296110,296110,1422558917,-8,mm/memory.c,1,1,92
297033,297033,1418914095,0,mm/memory.c,2,0,1583
305398,305398,1421089855,0,mm/memory.c,4,4,411
307034,307034,1420756338,-8,mm/memory.c,17,10,1252
307654,307654,1420578005,-8,mm/memory.c,2,2,92
309527,309527,1419274914,2,mm/memory.c,2,2,4
310282,310282,1418948249,-8,mm/memory.c,6,0,1510
310403,310403,1417984893,1,mm/memory.c,10,1,146
310430,310430,1418846344,-8,mm/memory.c,3,3,92
311476,311476,1418432127,-8,mm/memory.c,1,0,4210
311495,311495,1418432082,-8,mm/memory.c,2,2,16
311519,311519,1418432061,-8,mm/memory.c,4,4,16
314800,314800,1417564779,-8,mm/memory.c,13,13,25
323296,323296,1414576989,0,mm/memory.c,8,21,411
332932,332932,1414527388,-7,mm/memory.c,1,0,411
333759,333759,1414058864,2,mm/memory.c,1,1,4787
338846,338846,1413240946,-7,mm/memory.c,2,1,2207
343876,343876,1411686329,-7,mm/memory.c,1,1,2207
349885,349885,1410553043,2,mm/memory.c,2,0,499
356638,356638,1409350724,-7,mm/memory.c,3,4,25
362952,362952,1407533020,-7,mm/memory.c,0,38,3503
363237,363237,1407532762,-7,mm/memory.c,0,2,1252
363254,363254,1407532760,-7,mm/memory.c,20,20,1252
363788,363788,1407366492,-7,mm/memory.c,4,2,2413
363790,363790,1407366487,-7,mm/memory.c,2,1,4
363791,363791,1407366485,-7,mm/memory.c,7,14,4
363819,363819,1407366444,-7,mm/memory.c,31,3,7993
363836,363836,1407366425,-7,mm/memory.c,1,1,2213
363846,363846,1407366416,-7,mm/memory.c,1,1,2935
363919,363919,1407366308,-7,mm/memory.c,1,1,25
366336,366336,1406761715,-7,mm/memory.c,12,9,6100
369281,369281,1406149208,-7,mm/memory.c,2,1,1507
389991,389991,1401923455,-7,mm/memory.c,27,0,4
389992,389992,1401923454,-7,mm/memory.c,23,38,4
390002,390002,1401923445,-7,mm/memory.c,1,1,4
390133,390133,1401923290,-7,mm/memory.c,0,641,4
390304,390304,1401923190,-7,mm/memory.c,6,10,3636
404310,404310,1398800175,-4,mm/memory.c,0,3,2413
408399,408399,1398467140,-7,mm/memory.c,34,18,92
410025,410025,1398199780,-7,mm/memory.c,5,0,92
414430,414430,1396910271,-7,mm/memory.c,1,1,6128
414441,414441,1396910266,-7,mm/memory.c,3,3,5647
414490,414490,1396910242,-7,mm/memory.c,60,7,4
414508,414508,1396910238,-7,mm/memory.c,76,4,4
414525,414525,1396910221,-7,mm/memory.c,2,2,7687
415217,415217,1396600102,-7,mm/memory.c,44,21,25
415613,415613,1396561696,-7,mm/memory.c,30,35,4
415614,415614,1396561695,-7,mm/memory.c,45,59,4
415615,415615,1396561693,-7,mm/memory.c,64,161,4
415616,415616,1396561692,-7,mm/memory.c,62,0,4
415617,415617,1396561691,-7,mm/memory.c,43,0,4
415618,415618,1396561690,-7,mm/memory.c,44,31,4
415619,415619,1396561688,-7,mm/memory.c,5,5,4
415625,415625,1396561682,-7,mm/memory.c,2,2,7829
430963,430963,1393369302,-8,mm/memory.c,3,11,4
430966,430966,1393369299,-8,mm/memory.c,1,0,4
443053,443053,1390521174,-8,mm/memory.c,4,4,3883
443070,443070,1390521169,-8,mm/memory.c,1,1,3640
444204,444204,1390348147,-8,mm/memory.c,11,2,4
444300,444300,1390348092,-8,mm/memory.c,3,0,197
445853,445853,1415846769,11,mm/memory.c,2,1,376
454047,454047,1387578485,-8,mm/memory.c,1,1,1401
454142,454142,1387539358,2,mm/memory.c,1,1,4
466577,466577,1384987307,-8,mm/memory.c,0,7,92
467824,467824,1384468313,-8,mm/memory.c,7,0,4
467828,467828,1384468312,-8,mm/memory.c,5,6,86
467834,467834,1384468311,-8,mm/memory.c,19,0,4
467884,467884,1384468264,-8,mm/memory.c,7,5,4
467910,467910,1384468248,-8,mm/memory.c,2,2,4
468873,468873,1384297635,-8,mm/memory.c,0,2,2104
474357,474357,1381141725,1,mm/memory.c,21,32,3636
475868,475868,1379881672,-4,mm/memory.c,1,1,1107
478959,478959,1381956419,-7,mm/memory.c,12,6,1252
478966,478966,1381956411,-7,mm/memory.c,2,0,2213
482728,482728,1381141776,1,mm/memory.c,4,4,2413
482732,482732,1381141774,1,mm/memory.c,7,0,2413
482751,482751,1381141765,1,mm/memory.c,3,97,3636
482756,482756,1381141764,1,mm/memory.c,26,4,86
482766,482766,1381141761,1,mm/memory.c,8,0,86
482773,482773,1381141760,1,mm/memory.c,6,9,86
482822,482822,1381141747,1,mm/memory.c,6,9,3636
482832,482832,1381141745,1,mm/memory.c,2,5,3636
482839,482839,1381141743,1,mm/memory.c,6,2,3636
482874,482874,1381141730,1,mm/memory.c,1,0,3636
482882,482882,1381141725,1,mm/memory.c,21,32,3636
491242,491242,1379024045,-7,mm/memory.c,6,3,4
491298,491298,1379024024,-7,mm/memory.c,3,0,1252
491305,491305,1379024022,-7,mm/memory.c,30,10,1252
491768,491768,1378934524,-7,mm/memory.c,15,2,2104
491805,491805,1378934488,-7,mm/memory.c,0,24,2269
501245,501245,1376592145,-7,mm/memory.c,21,15,92
502327,502327,1376434851,-7,mm/memory.c,6,4,2213
502334,502334,1376434849,-7,mm/memory.c,2,0,2213
502895,502895,1375873372,2,mm/memory.c,1,0,381
514605,514605,1373324418,-7,mm/memory.c,1,1,467
516107,516107,1372889061,-7,mm/memory.c,0,2,6352
516174,516174,1372889011,-7,mm/memory.c,6,3,516
516372,516372,1372888886,-7,mm/memory.c,1,1,1739
527717,527717,1370428010,2,mm/memory.c,0,9,86
531316,531316,1369578743,3,mm/memory.c,7,4,76
531318,531318,1369578733,3,mm/memory.c,2,1,76
539837,539837,1367273295,-7,mm/memory.c,5,0,1186
540336,540336,1355336352,-8,mm/memory.c,4,4,467
544511,544511,1366145137,-7,mm/memory.c,47,0,92
545612,545612,1365809034,-7,mm/memory.c,1,0,3640
566072,566072,1361579770,-8,mm/memory.c,8,10,25
566076,566076,1361579767,-8,mm/memory.c,18,2,25
566086,566086,1361579756,-8,mm/memory.c,23,8,9015
566091,566091,1361579755,-8,mm/memory.c,9,9,9015
566152,566152,1361579708,-8,mm/memory.c,9,9,25
566214,566214,1361579672,-8,mm/memory.c,4,0,8388
566347,566347,1361579564,-8,mm/memory.c,0,24,9015
566376,566376,1361579540,-8,mm/memory.c,4,1,1252
581824,581824,1358750859,10,mm/memory.c,1,1,2302
586340,586340,1357749414,-8,mm/memory.c,8,0,92
588154,588154,1357342512,-8,mm/memory.c,5,0,5647
592902,592902,1355788883,-8,mm/memory.c,3,5,43
593005,593005,1355788764,-8,mm/memory.c,1,0,1510
593954,593954,1355349157,-8,mm/memory.c,1,6,4787
593959,593959,1355349156,-8,mm/memory.c,0,7,4
594033,594033,1355349059,-8,mm/memory.c,2,2,4
594041,594041,1355349054,-8,mm/memory.c,0,7,4
594403,594403,1355270487,-8,mm/memory.c,6,2,411
594676,594676,1353460703,0,mm/memory.c,8,4,3636
594690,594690,1352942672,0,mm/memory.c,34,17,3636
594697,594697,1351867968,0,mm/memory.c,12,0,3636
594720,594720,1351167403,2,mm/memory.c,11,2,8388
594733,594733,1351856025,0,mm/memory.c,27,5,3636
594746,594746,1351167391,2,mm/memory.c,107,4,3636
594749,594749,1349465787,2,mm/memory.c,17,0,20
594775,594775,1318446411,2,mm/memory.c,2,1,3636
607318,607318,1353104088,-8,mm/memory.c,4,6,5
623792,623792,1349739243,-7,mm/memory.c,1,1,5
623809,623809,1349739223,-7,mm/memory.c,1,1,1491
623818,623818,1349739215,-7,mm/memory.c,12,6,4391
623824,623824,1349739213,-7,mm/memory.c,18,9,4082
623836,623836,1349739199,-7,mm/memory.c,5,5,25
624009,624009,1349739085,-7,mm/memory.c,4,4,9015
624193,624193,1349738942,-7,mm/memory.c,5,6,9710
624242,624242,1349738920,-7,mm/memory.c,12,2,9710
624251,624251,1349738914,-7,mm/memory.c,10,16,9710
624254,624254,1349738909,-7,mm/memory.c,5,7,11174
650666,650666,1343778380,-7,mm/memory.c,1,1,3636
650828,650828,1343778198,-7,mm/memory.c,1,1,9927
650919,650919,1343778123,-7,mm/memory.c,4,2,235
652059,652059,1339510828,2,mm/memory.c,7,7,389
665136,665136,1340845341,8,mm/memory.c,9,0,10115
666915,666915,1340221982,-7,mm/memory.c,1,1,10934
666924,666924,1340221980,-7,mm/memory.c,9,1,5
674949,674949,1338329183,-7,mm/memory.c,15,3,5
674967,674967,1338329178,-7,mm/memory.c,1,1,2413
687000,687000,1336337646,-7,mm/memory.c,5,11,92
687003,687003,1336336995,-7,mm/memory.c,9,9,92
694404,694404,1334140527,5,mm/memory.c,3,0,2483
703105,703105,1332540171,-7,mm/memory.c,1,7,11797
703964,703964,1332372853,-7,mm/memory.c,2,7,5
703968,703968,1332372853,-7,mm/memory.c,9,9,5
704057,704057,1332372829,-7,mm/memory.c,0,18,9710
704078,704078,1332372822,-7,mm/memory.c,12,4,20
704510,704510,1330974860,-5,mm/memory.c,73,39,1107
704512,704512,1330972875,-5,mm/memory.c,1,5,1107
704516,704516,1330972689,-5,mm/memory.c,2,3,1107
704517,704517,1330972549,-5,mm/memory.c,2,2,1107
704518,704518,1330971909,-5,mm/memory.c,6,9,1107
705012,705012,1322234079,8,mm/memory.c,2,2,9717
726020,726020,1327098864,-8,mm/memory.c,28,9,9710
728061,728061,1326417556,-8,mm/memory.c,2,2,12473
754786,754786,1320266219,-7,mm/memory.c,1,1,20
758183,758183,1318744912,-4,mm/memory.c,1,1,83
788602,788602,1311639152,-7,mm/memory.c,56,1,435
788606,788606,1311639147,-7,mm/memory.c,34,22,11354
788632,788632,1311639136,-7,mm/memory.c,0,11,1510
795178,795178,1310164781,-7,mm/memory.c,1,0,12473
801796,801796,1309216681,-7,mm/memory.c,0,24,25
804369,804369,1308175703,-7,mm/memory.c,4,2,18
804393,804393,1308175689,-7,mm/memory.c,1,1,13276
809380,809380,1306452338,-7,mm/memory.c,2,0,9471
809711,809711,1306404979,9,mm/memory.c,1,1,9069
810418,810418,1306282334,-7,mm/memory.c,121,2,8388
810444,810444,1306282326,-7,mm/memory.c,2,2,8388
810453,810453,1306282324,-7,mm/memory.c,29,165,8388
810460,810460,1306282321,-7,mm/memory.c,1,1,8388
810470,810470,1306282320,-7,mm/memory.c,77,0,8388
810514,810514,1306282305,-7,mm/memory.c,22,24,8388
810518,810518,1306282304,-7,mm/memory.c,1,1,5647
818679,818679,1304938869,2,mm/memory.c,7,9,9085
819721,819721,1304569828,-7,mm/memory.c,3,4,92
821935,821935,1303943216,-7,mm/memory.c,1,1,3636
825034,825034,1302819730,-7,mm/memory.c,1,1,6532
825843,825843,1302642951,-7,mm/memory.c,18,8,92
832209,832209,1301171221,-7,mm/memory.c,1,1,13276
833207,833207,1300923739,-7,mm/memory.c,1,1,11354
833400,833400,1300045760,-4,mm/memory.c,16,0,13535
833401,833401,1300045759,-4,mm/memory.c,25,10,13535
833402,833402,1300045758,-4,mm/memory.c,11,7,13535
833410,833410,1300045757,-4,mm/memory.c,1,1,13535
833418,833418,1300045756,-4,mm/memory.c,1,1,13535
833427,833427,1300045755,-4,mm/memory.c,2,2,13535
834319,834319,1300836651,-7,mm/memory.c,4,1,9204
836432,836432,1296357348,8,mm/memory.c,10,3,8
836437,836437,1296357347,8,mm/memory.c,50,0,8
845766,845766,1298465387,1,mm/memory.c,2,0,6128
848906,848906,1297313788,9,mm/memory.c,3,3,10876
849909,849909,1297378893,-8,mm/memory.c,0,6,9015
849910,849910,1297378892,-8,mm/memory.c,12,14,9015
858425,858425,1294962435,-8,mm/memory.c,4,2,20
858501,858501,1294962415,-8,mm/memory.c,5,0,20
858506,858506,1294962414,-8,mm/memory.c,6,1,20
858509,858509,1294962412,-8,mm/memory.c,1,1,25
